policy,roi_ticks,insts_not_nop,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,checksum,rc,rows,lookups,updates,traversals,poison,pfIssued,pfUseful,pfUnused,pfIdentified,pointerLikeCandidates,learnedProofs,proofEvictions,allowedCandidates,blockedNoProvenance,fillPrefetchTranslated,fillPrefetchTranslationFault,fillPrefetchTranslationUnavailable,targetLineWitnessHits,targetLineWitnessMisses,carriedProvenanceTerminalStops,boundaryFlushes,boundaryAuthorityEntriesDropped,boundaryPrefetchesDropped,tick_delta_vs_none_pct,l1d_miss_delta_vs_none_pct
none,18737577333,25454012,229875,9599499,113205,0xa39a7f,0,1024,3000,1024,3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
stride,17330249736,25445015,173720,9596029,122410,0xa39a7f,0,1024,3000,1024,3000,1,78592,57286,2638,78592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.511,-24.428
bop,16452927270,25431278,151664,9590103,140264,0xa39a7f,0,1024,3000,1024,3000,1,181133,92539,79240,224598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.193,-34.023
naive,18550028403,25454368,221855,9599662,113560,0xa39a7f,0,1024,3000,1024,3000,1,39359,8926,12146,39359,50445,2793,0,50445,0,24775,0,11084,24775,11084,0,0,0,0,-1.001,-3.489
copper_clpd64k_peb,18507081726,25454574,217998,9599741,113389,0xa39a7f,0,1024,3000,1024,3000,1,44859,12730,12986,44859,75887,2865,0,47169,28718,18768,0,2310,18768,2310,36512,2,17964,0,-1.230,-5.167
dcpt,16218598500,25446462,128464,9596800,126627,0xa39a7f,0,1024,3000,1024,3000,1,1116863,106035,31265,1363324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.443,-44.116
spp,15299270415,25472943,90192,9606331,144157,0xa39a7f,0,1024,3000,1024,3000,1,1041255,152643,130479,1190212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.350,-60.765
spp_copper,15277322718,25471693,89282,9605858,143810,0xa39a7f,0,1024,3000,1024,3000,1,1041730,153669,265890,1179838,126383,1841,0,14925,111458,7301,0,768,7301,768,39111,2,10172,0,-18.467,-61.161
spp_copper_slack,15278586453,25471695,89276,9605863,144877,0xa39a7f,0,1024,3000,1024,3000,1,1043688,153663,267984,1177813,127066,1850,0,14936,112130,7291,0,766,7291,766,39187,2,10172,0,-18.460,-61.163
ampm,16141415760,25443809,134176,9595277,160997,0xa39a7f,0,1024,3000,1024,3000,1,975649,116450,174668,1034742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.855,-41.631
