"path","copied_to","status"
"research\results\model_tests.csv","research\results\pass_top_tier_before\research__results__model_tests.csv","PRESENT"
"research\results\cycle_performance.csv","research\results\pass_top_tier_before\research__results__cycle_performance.csv","PRESENT"
"research\results\cycle_prefetch_metrics.csv","research\results\pass_top_tier_before\research__results__cycle_prefetch_metrics.csv","PRESENT"
"research\results\cycle_memory_traffic.csv","research\results\pass_top_tier_before\research__results__cycle_memory_traffic.csv","PRESENT"
"research\results\statistical_summary.csv","research\results\pass_top_tier_before\research__results__statistical_summary.csv","PRESENT"
"research\results\rtl_compile.csv","research\results\pass_top_tier_before\research__results__rtl_compile.csv","PRESENT"
"research\results\rtl_simulation.csv","research\results\pass_top_tier_before\research__results__rtl_simulation.csv","PRESENT"
"research\results\synthesis.csv","research\results\pass_top_tier_before\research__results__synthesis.csv","PRESENT"
"research\results\synthesis_overhead.csv","research\results\pass_top_tier_before\research__results__synthesis_overhead.csv","PRESENT"
"research\results\paper_build_status.csv","research\results\pass_top_tier_before\research__results__paper_build_status.csv","PRESENT"
"research\results\ci_status.csv","research\results\pass_top_tier_before\research__results__ci_status.csv","PRESENT"
"research\CONFERENCE_READINESS_DASHBOARD.md","research\results\pass_top_tier_before\research__CONFERENCE_READINESS_DASHBOARD.md","PRESENT"
"research\COPPER_CLAIM_LEDGER.md","research\results\pass_top_tier_before\research__COPPER_CLAIM_LEDGER.md","PRESENT"
"research\COPPER_FINAL_REVIEWER_REPORT.md","research\results\pass_top_tier_before\research__COPPER_FINAL_REVIEWER_REPORT.md","PRESENT"
"research\COPPER_FINAL_SUBMISSION_BLOCKERS.md","research\results\pass_top_tier_before\research__COPPER_FINAL_SUBMISSION_BLOCKERS.md","PRESENT"
"REPRODUCIBILITY_STATUS.md","research\results\pass_top_tier_before\REPRODUCIBILITY_STATUS.md","PRESENT"
